,BuildingType,PrimaryPropertyType,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Age,prop_GFAParking,prop_Use1,prop_Use2,prop_Use3
1175,NonResidential,Small- and Mid-Sized Office,98109.0,1972206390,7,MAGNOLIA / QUEEN ANNE,47.64976,-122.35684,1.0,3,26419,Office,67.0,1074989.0,7.49,27,0.26200840304326434,0.0,0.0,0.0
1176,NonResidential,Small- and Mid-Sized Office,98109.0,1972206435,7,MAGNOLIA / QUEEN ANNE,47.64976,-122.35684,1.0,3,25262,Office,54.0,1469556.25,23.85,37,0.0,0.0,0.0,0.0
1177,NonResidential,Other,98103.0,1972206512,6,LAKE UNION,47.64975,-122.35289,0.0,3,53103,Other,,4877959.0,38.12,20,0.0,0.0,0.0,0.0
1178,NonResidential,Small- and Mid-Sized Office,98109.0,1972206650,7,MAGNOLIA / QUEEN ANNE,47.64901,-122.35516,1.0,3,34106,Office,57.0,1619177.125,11.29,36,0.0,0.0,0.0,0.0
1179,NonResidential,Small- and Mid-Sized Office,98109.0,1972206650,7,MAGNOLIA / QUEEN ANNE,47.64934,-122.35592,1.0,3,34545,Office,29.0,2313978.75,16.13,36,0.0,0.0,0.0,0.0
1180,NonResidential,Small- and Mid-Sized Office,98109.0,1972206670,7,MAGNOLIA / QUEEN ANNE,47.64865,-122.35435,1.0,3,70296,Office,86.0,2782066.5,19.39,36,0.0,0.0,0.0,0.0
1181,NonResidential,Small- and Mid-Sized Office,98104.0,5247800365,7,DOWNTOWN,47.59979,-122.33339,1.0,4,27838,Office,77.0,1217509.125,8.49,114,0.0,0.0,0.0,0.0
1182,NonResidential,Distribution Center,98106.0,1924049081,1,DELRIDGE,47.55105,-122.34695,2.0,2,28368,Distribution Center,,1856230.625,30.02,45,0.0,0.0,0.0,0.0
1189,NonResidential,Other,98133.0,1926049122,5,NORTHWEST,47.72471,-122.3412,1.0,2,92080,Other,,5155090.5,127.1,52,0.0,0.0,0.0,0.0
1191,NonResidential,Other,98133.0,1926049180,5,NORTHWEST,47.72288,-122.34065,1.0,1,20236,Other - Recreation,,1965182.25,49.58,55,0.0,0.0,0.0,0.0
